GEO_ID,NAME,S1901_C01_001E
47001,"Anderson County, Tennessee",30973
47003,"Bedford County, Tennessee",17904
47005,"Benton County, Tennessee",6509
47007,"Bledsoe County, Tennessee",4901
47009,"Blount County, Tennessee",52337
47011,"Bradley County, Tennessee",40948
47013,"Campbell County, Tennessee",15744
47015,"Cannon County, Tennessee",5671
47017,"Carroll County, Tennessee",10988
47019,"Carter County, Tennessee",23547
47021,"Cheatham County, Tennessee",15366
47023,"Chester County, Tennessee",6108
47025,"Claiborne County, Tennessee",13410
47027,"Clay County, Tennessee",2973
47029,"Cocke County, Tennessee",14339
47031,"Coffee County, Tennessee",22417
47033,"Crockett County, Tennessee",5387
47035,"Cumberland County, Tennessee",26523
47037,"Davidson County, Tennessee",293859
47039,"Decatur County, Tennessee",4375
47041,"DeKalb County, Tennessee",8023
47043,"Dickson County, Tennessee",19663
47045,"Dyer County, Tennessee",14659
47047,"Fayette County, Tennessee",15932
47049,"Fentress County, Tennessee",7443
47051,"Franklin County, Tennessee",16467
47053,"Gibson County, Tennessee",19436
47055,"Giles County, Tennessee",11395
47057,"Grainger County, Tennessee",9343
47059,"Greene County, Tennessee",27468
47061,"Grundy County, Tennessee",4833
47063,"Hamblen County, Tennessee",24471
47065,"Hamilton County, Tennessee",147419
47067,"Hancock County, Tennessee",2852
47069,"Hardeman County, Tennessee",9058
47071,"Hardin County, Tennessee",10787
47073,"Hawkins County, Tennessee",22777
47075,"Haywood County, Tennessee",7118
47077,"Henderson County, Tennessee",10823
47079,"Henry County, Tennessee",12938
47081,"Hickman County, Tennessee",8736
47083,"Houston County, Tennessee",2860
47085,"Humphreys County, Tennessee",6688
47087,"Jackson County, Tennessee",4523
47089,"Jefferson County, Tennessee",20419
47091,"Johnson County, Tennessee",6859
47093,"Knox County, Tennessee",192077
47095,"Lake County, Tennessee",2071
47097,"Lauderdale County, Tennessee",9144
47099,"Lawrence County, Tennessee",16483
47101,"Lewis County, Tennessee",4842
47103,"Lincoln County, Tennessee",14032
47105,"Loudon County, Tennessee",21801
47107,"McMinn County, Tennessee",21163
47109,"McNairy County, Tennessee",9818
47111,"Macon County, Tennessee",9266
47113,"Madison County, Tennessee",38699
47115,"Marion County, Tennessee",11718
47117,"Marshall County, Tennessee",12718
47119,"Maury County, Tennessee",38532
47121,"Meigs County, Tennessee",5129
47123,"Monroe County, Tennessee",18574
47125,"Montgomery County, Tennessee",77460
47127,"Moore County, Tennessee",2475
47129,"Morgan County, Tennessee",7110
47131,"Obion County, Tennessee",12526
47133,"Overton County, Tennessee",8731
47135,"Perry County, Tennessee",3052
47137,"Pickett County, Tennessee",2161
47139,"Polk County, Tennessee",7006
47141,"Putnam County, Tennessee",31933
47143,"Rhea County, Tennessee",12756
47145,"Roane County, Tennessee",21773
47147,"Robertson County, Tennessee",26536
47149,"Rutherford County, Tennessee",118955
47151,"Scott County, Tennessee",8533
47153,"Sequatchie County, Tennessee",5866
47155,"Sevier County, Tennessee",36817
47157,"Shelby County, Tennessee",354736
47159,"Smith County, Tennessee",7473
47161,"Stewart County, Tennessee",5091
47163,"Sullivan County, Tennessee",67025
47165,"Sumner County, Tennessee",72638
47167,"Tipton County, Tennessee",21860
47169,"Trousdale County, Tennessee",3349
47171,"Unicoi County, Tennessee",7583
47173,"Union County, Tennessee",7411
47175,"Van Buren County, Tennessee",2412
47177,"Warren County, Tennessee",15790
47179,"Washington County, Tennessee",54913
47181,"Wayne County, Tennessee",5671
47183,"Weakley County, Tennessee",13213
47185,"White County, Tennessee",10306
47187,"Williamson County, Tennessee",85311
47189,"Wilson County, Tennessee",52983