Area Name,Year,Variable,Value,Rank,Note
Alabama,2020,Carbon Dioxide Emissions (Mil Metric Tons),98.30858488,15,
Alaska,2020,Carbon Dioxide Emissions (Mil Metric Tons),35.96752671,40,
Arizona,2020,Carbon Dioxide Emissions (Mil Metric Tons),80.13670754,21,
Arkansas,2020,Carbon Dioxide Emissions (Mil Metric Tons),54.74274607,32,
California,2020,Carbon Dioxide Emissions (Mil Metric Tons),303.4067142,2,
Colorado,2020,Carbon Dioxide Emissions (Mil Metric Tons),79.89356751,22,
Connecticut,2020,Carbon Dioxide Emissions (Mil Metric Tons),33.76833256,41,
Delaware,2020,Carbon Dioxide Emissions (Mil Metric Tons),12.4713014,47,
District of Columbia,2020,Carbon Dioxide Emissions (Mil Metric Tons),2.400962973,51,
Florida,2020,Carbon Dioxide Emissions (Mil Metric Tons),207.6363255,3,
Georgia,2020,Carbon Dioxide Emissions (Mil Metric Tons),116.5918388,11,
Hawaii,2020,Carbon Dioxide Emissions (Mil Metric Tons),14.92380827,45,
Idaho,2020,Carbon Dioxide Emissions (Mil Metric Tons),19.35911788,43,
Illinois,2020,Carbon Dioxide Emissions (Mil Metric Tons),169.8637056,7,
Indiana,2020,Carbon Dioxide Emissions (Mil Metric Tons),154.3480351,8,
Iowa,2020,Carbon Dioxide Emissions (Mil Metric Tons),65.65085411,26,
Kansas,2020,Carbon Dioxide Emissions (Mil Metric Tons),57.77715449,29,
Kentucky,2020,Carbon Dioxide Emissions (Mil Metric Tons),101.8855794,14,
Louisiana,2020,Carbon Dioxide Emissions (Mil Metric Tons),183.2984563,6,
Maine,2020,Carbon Dioxide Emissions (Mil Metric Tons),13.5022626,46,
Maryland,2020,Carbon Dioxide Emissions (Mil Metric Tons),48.09083955,35,
Massachusetts,2020,Carbon Dioxide Emissions (Mil Metric Tons),52.28060539,34,
Michigan,2020,Carbon Dioxide Emissions (Mil Metric Tons),136.7773589,10,
Minnesota,2020,Carbon Dioxide Emissions (Mil Metric Tons),78.38217962,23,
Mississippi,2020,Carbon Dioxide Emissions (Mil Metric Tons),63.13899977,28,
Missouri,2020,Carbon Dioxide Emissions (Mil Metric Tons),108.7023978,12,
Montana,2020,Carbon Dioxide Emissions (Mil Metric Tons),26.22561517,42,
Nebraska,2020,Carbon Dioxide Emissions (Mil Metric Tons),46.50927263,36,
Nevada,2020,Carbon Dioxide Emissions (Mil Metric Tons),36.20523107,39,
New Hampshire,2020,Carbon Dioxide Emissions (Mil Metric Tons),12.44720564,48,
New Jersey,2020,Carbon Dioxide Emissions (Mil Metric Tons),83.82379422,18,
New Mexico,2020,Carbon Dioxide Emissions (Mil Metric Tons),45.21355901,37,
New York,2020,Carbon Dioxide Emissions (Mil Metric Tons),143.3766729,9,
North Carolina,2020,Carbon Dioxide Emissions (Mil Metric Tons),106.5337712,13,
North Dakota,2020,Carbon Dioxide Emissions (Mil Metric Tons),54.25128029,33,
Ohio,2020,Carbon Dioxide Emissions (Mil Metric Tons),185.631953,5,
Oklahoma,2020,Carbon Dioxide Emissions (Mil Metric Tons),83.72943515,19,
Oregon,2020,Carbon Dioxide Emissions (Mil Metric Tons),37.48172955,38,
Pennsylvania,2020,Carbon Dioxide Emissions (Mil Metric Tons),193.2393532,4,
Rhode Island,2020,Carbon Dioxide Emissions (Mil Metric Tons),9.826373856,49,
South Carolina,2020,Carbon Dioxide Emissions (Mil Metric Tons),63.49945279,27,
South Dakota,2020,Carbon Dioxide Emissions (Mil Metric Tons),14.94250924,44,
Tennessee,2020,Carbon Dioxide Emissions (Mil Metric Tons),83.30319191,20,
Texas,2020,Carbon Dioxide Emissions (Mil Metric Tons),623.9627434,1,
United States,2020,Carbon Dioxide Emissions (Mil Metric Tons),4592.428581,,n/a
Utah,2020,Carbon Dioxide Emissions (Mil Metric Tons),57.37800883,30,
Vermont,2020,Carbon Dioxide Emissions (Mil Metric Tons),5.420121203,50,
Virginia,2020,Carbon Dioxide Emissions (Mil Metric Tons),98.16604733,16,
Washington,2020,Carbon Dioxide Emissions (Mil Metric Tons),68.372251,25,
West Virginia,2020,Carbon Dioxide Emissions (Mil Metric Tons),76.92447797,24,
Wisconsin,2020,Carbon Dioxide Emissions (Mil Metric Tons),87.03738391,17,
Wyoming,2020,Carbon Dioxide Emissions (Mil Metric Tons),55.62118348,31,